row,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,category,size
1,0,50,48,48,50,25,25,25,25,100,100,51,51,30,0,0,0,0,AI/ML,3
2,0,50,48,48,50,100,100,100,100,100,100,59,59,30,0,0,0,0,Software,3
3,0,50,53,53,53,53,53,50,0,100,100,60,60,60,60,60,30,0,Hardware,4
4,0,0,0,0,50,56,56,56,56,100,100,100,100,100,50,50,50,50,AR/VR,7
5,0,0,0,0,50,58,58,50,75,100,100,100,100,100,53,53,30,0,Hardware,3
6,0,0,0,0,50,47,47,50,50,100,100,100,100,100,46,46,30,0,AR/VR,7
7,0,0,0,0,0,0,0,50,42,100,100,100,100,100,100,100,100,46,Software,4
8,0,0,0,0,0,0,0,50,44,100,100,100,100,100,100,100,100,56,Software,3
9,0,0,0,0,0,0,0,50,40,100,100,100,100,100,100,100,100,45,AI/ML,5
10,0,0,0,0,0,0,0,50,54,100,100,100,100,100,100,100,100,41,AI/ML,6
