Column1,Id,Company,Acquisition date,Founded,Headcount,Headcount_bucketed,AcquiredBy,Obsolete Category,Description,Categories,Business,Acquisition Value (USD),BroadCategory,x_transition1,y_transition1,x_transition2,y_transition2,x_stable,y_stable,x_acquired1,y_acquired1,x_acquired2,y_acquired2,x_acquired_stable,y_acquired_stable
23,23,Metaio,2018,2003,100,100,Apple,AR/VR,Metaio is technology company that develops augmented reality software technology and solutions.,"Advertising, Augmented Reality, Mobile, Software",Augmented reality,,AR/VR,50,100,42,78,42,78,50,20,25,0,25,0
24,24,LinX,2015,2013,10,50,Apple,Software,Linx is social platform that enables users to create and share videos with their friends.,"Mobile, Social Media",Camera,20000000,Software,50,100,49,61,49,61,50,20,25,0,25,0
25,25,Coherent Navigation,2018,2008,10,50,Apple,AR/VR,Coherent Navigation was a small firm that focused on creating commercial navigation services,"Apps, Software",GPS,,Software,50,100,48,72,48,72,50,20,25,0,25,0
26,26,FoundationDB,2015,2009,50,50,Apple,AI/ML/Analytics,FoundationDB is a scalable NoSQL database with high performance multi-key ACID transactions that support multiple data models.,"Analytics, Database, Enterprise Software",Database,,AI/ML/Analytics,50,100,45,70,45,70,50,20,25,0,25,0
27,27,Semetric,2015,2008,25,50,Apple,AI/ML/Analytics,"Semetric powers data-driven business in entertainment by providing insight, analytics, discovery, recommendations, and targetting services.","Analytics, Content Discovery, Predictive Analytics",Music analytics,50000000,AI/ML/Analytics,50,100,45,49,45,49,50,20,25,0,25,0
28,28,Camel Audio,2018,2000,10,50,Apple,Media/Ad/Content,U.K. -based music technology company providing tools for music production.,"Audio, Music",Audio plug-ins and sound libraries,,Media/Ad/Content,50,100,53,77,53,77,50,20,25,0,25,0
29,29,Prss,2014,2013,50,50,Apple,Software,Prss is a digital magazine startup that makes it easy to create iPad-compatible magazines using tools that do o't require any coding.,"iOS, Publishing",Digital magazine,,Software,50,100,59,53,59,53,50,20,25,0,25,0
30,30,Beats Electronics,2014,2006,1000,1000,Apple,AI/ML/Analytics,"Beats Electronics offers premium consumer headphones, earphones and speakers, software technology and streaming music subscription services.","Consumer Electronics, Hardware, Manufacturing, Media and Entertainment, Music, Software","Headphones, music streaming (Beats Music)",3000000000,AI/ML/Analytics,50,100,45,70,45,70,50,20,25,0,25,0
31,31,Swell,2014,2012,50,50,Apple,AI/ML/Analytics,"Concept.io develops the application Swell Radio, which provides personalized audio, news and information based on users' interests.","Content Discovery, Machine Learning, Mobile, Personalization",Music streaming,30000000,AI/ML/Analytics,50,100,45,69,45,69,50,20,25,0,25,0
32,32,BookLamp,2014,2007,50,50,Apple,AR/VR,Booklamp provides users with reading suggestions based on a detailed analysis of the writing styles of their preferred authors.,"Content Discovery, Reading Apps, Software",Book analytics,,Software,50,100,41,66,41,66,50,20,25,0,25,0
33,33,Spotsetter,2014,2011,10,50,Apple,Media/Ad/Content,Spotsetter is a social search engine that makes personalized recommendations for places to visit and things to try.,"Big Data, Social Media",Social search engine,,Media/Ad/Content,50,100,51,67,51,67,50,20,25,0,25,0
34,34,LuxVue Technology,2014,2009,25,50,Apple,AR/VR,"LuxVue Technology Corporation develops low-power, microLED-based displays for consumer electronics applications.","Consumer Electronics, Hardware, Software",microLED displays,,Software,50,100,57,66,57,66,50,20,25,0,25,0
35,35,Burstly,2014,2009,50,50,Apple,AI/ML/Analytics,"Burstly develops tools that provide solutions for beta-testing, intuitive analytics and application monetization.","Advertising, Analytics, iOS, Mobile Advertising",Software testing,,AI/ML/Analytics,50,100,44,40,44,40,50,20,25,0,25,0
36,36,SnappyLabs,2014,2011,10,50,Apple,Software,Fastest smart-phone camera on earth.,Photography,Photography software,,Software,50,100,54,74,54,74,50,20,25,0,25,0
37,37,BroadMap,2013,2008,50,50,Apple,AR/VR,"BroadMap offers location based services, social intelligence & sentiment solutions, digital mapping solutions & market leading profile data.","Geospatial, Software",Maps,,Software,50,100,44,72,44,72,50,20,25,0,25,0
38,38,Catch.com,2013,2008,50,50,Apple,Software,Catch.com creates note-taking and mobile productivity apps for Android and iOS smartphones and tablets.,"Android, iOS, Mobile",Software,,Software,50,100,52,79,52,79,50,20,25,0,25,0
39,39,Topsy,2013,2007,100,100,Apple,AI/ML/Analytics,"Topsy, a social analytics company, provides instant answers to critical business questions via real-time analysis of public conversations.","Analytics, Internet, Real Time, Search Engine, Social Media",Analytics,200000000,AI/ML/Analytics,50,100,49,78,49,78,50,20,25,0,25,0
40,40,Acunu,2018,2009,50,50,Apple,AI/ML/Analytics,Acunu is a low-latency analytics platform for monitoring and controlling high-velocity data used in production environments.,"Analytics, Big Data, Software",Database analytics,,AI/ML/Analytics,50,100,57,40,57,40,50,20,25,0,25,0
41,41,PrimeSense,2013,2005,100,100,Apple,AR/VR,"PrimeSense offers an interactive device that can see, track and react to user movements outside the computer.","3D Technology, Consumer Electronics, Hardware",Structured-light 3D scanners,345000000,Hardware,50,100,50,60,50,60,50,20,25,0,25,0
42,42,Cue,2013,2010,50,50,Apple,Software,Cue is a web and mobile app that pulls information from the usersí_í‚_í_í‚_í_Œ‚í_Œ_ online accounts to present an overview of their day.,"Internet, Mobile Apps",Personal assistant,50000000,Software,50,100,50,68,50,68,50,20,25,0,25,0
43,43,AlgoTrim,2013,2005,50,50,Apple,Software,"AlgoTrim develops advanced solutions for mobile devices within the fields of data compression, mobile imaging and video, and computer",Mobile,Mobile data compression[64],,Software,50,100,41,56,41,56,50,20,25,0,25,0
44,44,Embark,2013,2011,10,50,Apple,Software,Embark creates mobile apps for mass-transit riders worldwide that gives users information about routes and stops in different cities.,"Mobile, Mobile Apps, Public Transportation",Maps,,Software,50,100,57,49,57,49,50,20,25,0,25,0
45,45,Matcha,2013,2011,10,50,Apple,Media/Ad/Content,"Matcha is a second-screen video search and recommendation service for movies, TV shows and other video content.","Content, Online Portals, Video",Media discovery app,,Media/Ad/Content,50,100,59,40,59,40,50,20,25,0,25,0
46,46,Passif Semiconductor,2013,2007,25,50,Apple,Hardware,Passif Semiconductor Corp manufactures semiconductors. The company manufactures switch-based wireless transceivers with low power,"Manufacturing, Semiconductor, Wireless",Semiconductors,,Hardware,50,100,49,42,49,42,50,20,25,0,25,0
47,47,Locationary,2013,2009,50,50,Apple,AI/ML/Analytics,"Locationary offers Saturn, a management and exchange platform for local business data.","Analytics, Crowdsourcing, Location Based Services",Maps,,AI/ML/Analytics,50,100,44,70,44,70,50,20,25,0,25,0
48,48,HopStop.com,2013,2005,50,50,Apple,Software,HopStop.com is a web platform offering door-to-door online transit-navigation services.,"Android, iOS, Navigation",Maps,,Software,50,100,53,72,53,72,50,20,25,0,25,0
49,49,WiFiSlam,2013,2011,50,50,Apple,Software,WiFiSlam develops indoor location-based technologies that use Wi-Fi signals to detect a mobile phone user's location via a smartphone app.,"Location Based Services, Mobile, Wireless",Indoor location,20000000,Software,50,100,49,47,49,47,50,20,25,0,25,0
50,50,Particle,2012,2008,50,50,Apple,Software,Particle develops innovative products for web and mobile in order to enhance new media technologies.,"Developer Platform, Mobile, Web Development",HTML5 Web app firm,,Software,50,100,50,76,50,76,50,20,25,0,25,0
51,51,AuthenTec,2012,1998,250,250,Apple,Security,"AuthenTec is a tech security company providing computer and mobile safety, identity management, biometrics, and touch control solutions.","Biometrics, Cyber Security, Identity Management, NFC, Security, Semiconductor, Sensor",PC and mobile security products,356000000,Security,50,100,43,43,43,43,50,20,25,0,25,0
52,52,Redmatica,2012,2003,25,50,Apple,Software,A small startup that specializes in digital music-editing apps.,not provided,Audio,,Software,50,100,51,57,51,57,50,20,25,0,25,0
53,53,Chomp,2012,2009,50,50,Apple,Software,Chomp is an application search platform providing information on the functionalities of various applications.,Mobile,App search engine,50000000,Software,50,100,46,71,46,71,50,20,25,0,25,0
54,54,Anobit,2011,2006,100,100,Apple,Hardware,Anobit Technologies develops semiconductors for storage solutions used in Flash memory devices.,"Electronics, Flash Storage, Semiconductor",Flash memory,390000000,Hardware,50,100,43,55,43,55,50,20,25,0,25,0
55,55,C3 Technologies,2011,2007,50,50,Apple,AR/VR,C3 Technologies provides detailed 3D city models for the web mapping industry.,"Assistive Technology, Enterprise Software, Information Technology",3D mapping,267000000,Software,50,100,47,47,47,47,50,20,25,0,25,0
56,56,Polar Rose,2010,2004,50,50,Apple,Software,"Polar Rose, a superior computer vision tech-based platform, helps users sort, search and share digital photos based on the content.","Internet, Browser Extensions, Image Recognition, Photography",Facial recognition,29000000,Software,50,100,51,55,51,55,50,20,25,0,25,0
57,57,IMSense,2010,2007,10,50,Apple,AR/VR,imsense provides dynamic range optimization solutions for images and videos that facilitate in mobile and computer platforms.,"Image Recognition, Photography, Software",High-dynamic-range (HDR) photography,,Software,50,100,58,59,58,59,50,20,25,0,25,0
58,58,Poly9,2010,2005,10,50,Apple,AR/VR,Poly9 offers web mapping platforms that enable users to solve location-critical problems.,"Geospatial, Software",Web-based mapping,,Software,50,100,55,44,55,44,50,20,25,0,25,0
59,59,Gipsy Moth Studios,2010,2005,25,50,Apple,Software,Application localization,Could not find info,Application localization,12000000,Software,50,100,58,52,58,52,50,20,25,0,25,0
60,60,Intrinsity,2010,1997,10000,1000,Apple,Software,"Intrinsity provides the tools, technologies, and expertise to efficiently produce higher speed circuits for mobile phone processors.","Manufacturing, Mobile, Semiconductor",Semiconductors,121000000,Software,50,100,50,73,50,73,50,20,25,0,25,0
61,61,Siri,2010,2007,50,50,Apple,AR/VR,"Siri is the developer of Siri, a virtual personal assistant incorporated as a feature of Apple iPhones beginning with the 4S generation.","Consumer Electronics, iOS, Software, Virtualization",Voice control software,,Software,50,100,43,65,43,65,50,20,25,0,25,0
62,62,Quattro Wireless,2010,2006,100,100,Apple,Software,"Quattro Wireless, a global mobile advertising company, enables advertisers and publishers to reach and engage their target audiences.","Ad Network, Advertising, Advertising Platforms, Mobile, Publishing",Mobile advertising,275000000,Software,50,100,56,76,56,76,50,20,25,0,25,0
63,63,Lala.com,2009,2005,25,50,Apple,Software,"Lala, an online music discovery platform, allows users to create shareable playlists and stream, upload and purchase music tracks.","Internet, Music, Music Streaming",Music streaming,17000000,Software,50,100,50,61,50,61,50,20,25,0,25,0
64,64,Placebase,2009,2005,50,50,Apple,Hardware,Placebase is an online mapping service offering customizations and features which integrate private and public data sets in diverse ways.,"Database, Developer APIs, Developer Tools",Maps,,Hardware,50,100,54,76,54,76,50,20,25,0,25,0
65,65,P.A. Semi,2008,2003,25,50,Apple,Hardware,"PA Semi develops high-end, low-power microprocessors for embedded computing.","Electronics, Manufacturing, Semiconductor",Semiconductors,278000000,Hardware,50,100,50,64,50,64,50,20,25,0,25,0
66,66,Proximity,2006,2001,25,50,Apple,Software,Proximity is a company that was acquired by Apple in 2006.,not provided,Software,,Software,50,100,40,69,40,69,50,20,25,0,25,0
67,67,Silicon Color,2006,2005,25,50,Apple,AR/VR,Silicon Color offers color finishing software that individuals can use for film coloring at a professional level.,"Film, Software, Video",Software,,Software,50,100,56,74,56,74,50,20,25,0,25,0
68,68,FingerWorks,2018,1998,25,50,Apple,AR/VR,Fingerworks is a Hardware company.,"Hardware, Human Computer Interaction, Software",Gesture recognition company,,Software,50,100,47,66,47,66,50,20,25,0,25,0
69,69,Schemasoft,2018,1987,25,50,Apple,AR/VR,SchemaSoft has been providing software development services and licensed components to the professional software community since 1987,Software,Software,,Software,50,100,46,67,46,67,50,20,25,0,25,0
70,70,Emagic,2002,1992,25,50,Apple,AR/VR,EMagic is a developer of software for computer-based professional music,Software,Music production software,30000000,Software,50,100,43,40,43,40,50,20,25,0,25,0
71,71,Prismo Graphics[note 6],2002,1987,25,50,Apple,Software,Prismo Graphics is a developer of motion graphics for broadcast and digital video projects,not provided,Special-effects titling software for film and video,20000000,Software,50,100,43,40,43,40,50,20,25,0,25,0
72,72,Propel Software,2002,1999,50,50,Apple,AR/VR,Propel makes the Internet better.,"Computer, Internet, Software",internet and network optimization for wireless carriers,,Software,50,100,49,61,49,61,50,20,25,0,25,0
73,73,Silicon Grail Corp-Chalice[note 5][note 6],2002,1997,25,50,Apple,Software,Digital effects software,could not find,Digital effects software,20000000,Software,50,100,48,49,48,49,50,20,25,0,25,0
74,74,Zayante,2002,1996,25,50,Apple,AR/VR,"Zayante is a developer of low-level FireWire technologies, including controlling software and silicon solutions.",Software,FireWire chips and software,13000000,Software,50,100,48,68,48,68,50,20,25,0,25,0
75,75,Nothing Real,2002,1996,25,50,Apple,AR/VR,Nothing Real is a Software company.,Software,Special effects software,15000000,Software,50,100,56,75,56,75,50,20,25,0,25,0
76,76,PowerSchool,2001,1997,5000,1000,Apple,Media/Ad/Content,"EdTech, Education, Software",PowerSchool is the leading K12 education technology provider of solutions that improve the education experience for 100 million users,Online info systems services,66100000,Media/Ad/Content,50,100,40,63,40,63,50,20,25,0,25,0
77,77,Spruce Technologies[note 3],2001,1996,25,50,Apple,Software,"Spruce Technologies a privately held company, is a provider of DVD and WebDVD authoring software.",Information Technology,Graphics software,14900000,Software,50,100,48,48,48,48,50,20,25,0,25,0
78,78,bluebuzz,2001,1996,25,50,Apple,Software,Internet service provider (ISP),could not find,Internet service provider (ISP),,Software,50,100,52,80,52,80,50,20,25,0,25,0
79,79,SoundJam MP[note 2],2000,1995,25,50,Apple,Software,Not provided,could not find,Software,,Software,50,100,47,45,47,45,50,20,25,0,25,0
80,80,Astarte-DVD Authoring Software[note 1],2000,1995,25,50,Apple,Software,Not provided,could not find,Software,,Software,50,100,51,69,51,69,50,20,25,0,25,0
81,81,NetSelector,2000,1999,25,50,Apple,Software,Internet software,not provided,Internet software,,Software,50,100,58,78,58,78,50,20,25,0,25,0
82,82,Raycer Graphics,1999,1996,50,50,Apple,Software,"Raycer Graphics develops high performance 3D graphics for the Windows market boards, chips, and related software drivers.","3D Technology, Graphic Design, Information Technology",Computer graphic chips,15000000,Software,50,100,58,41,58,41,50,20,25,0,25,0
83,83,Xemplar Education,1999,1996,25,50,Apple,Software,Xemplar Education is a company that was acquired by Apple in 1999.,not provided,Software,4926000,Software,50,100,57,45,57,45,50,20,25,0,25,0
84,84,Power Computing Corporation,1997,1993,300,300,Apple,Hardware,"Apple purchased major operations of Power Computing, the largest Mac clone maker",not provided,Macintosh clones,110000000,Hardware,50,100,55,42,55,42,50,20,25,0,25,0
85,85,NeXT,1997,1985,10000,1000,Apple,AR/VR,NeXT is a computer company offering a series of computer workstations intended for the higher education and business markets.,"Education, Hardware, Software",Unix-like hardware and software platform,404000000,Software,50,100,44,62,44,62,50,20,25,0,25,0
86,86,Dryft,2014,2013,50,50,Apple,AR/VR,Dryft's dynamic personalized keyboard makes typing fast and natural on tablets.,"Hardware, Software",On-Screen Keyboard,,Software,50,100,41,53,41,53,50,20,25,0,25,0
87,87,Novauris Technologies,2013,2002,50,50,Apple,Software,"Novauris was founded by the founders of Dragon Systems, and is developing voice recognition for mobile devices.","Information Services, Mobile, VoIP",Speech recognition,,Software,50,100,57,50,57,50,50,20,25,0,25,0
88,88,OttoCat,2013,2012,10,50,Apple,Software,"OttoCat organizes the App Store into lots of categories, and makes finding good apps easier.","Apps, Internet, Mobile",Search engine,,Software,50,100,53,64,53,64,50,20,25,0,25,0
89,89,Bluefish Labs,2001,1997,25,50,Apple,Software,Leading challenging engineering projects and producing successful software products.,"Database, Mobile Apps, Web Apps",Productivity software,,Software,50,100,55,79,55,79,50,20,25,0,25,0
90,90,Tenor,2018,2014,100,100,Google,Media/Ad/Content,GIF image search,"Messaging, Social Media, Video",GIF image search,,Media/Ad/Content,50,100,59,75,59,75,50,20,75,0,75,0
91,91,60db,2017,2016,50,50,Google,AI/ML/Analytics,Podcasts,"Audio, Media and Entertainment, Social Media, Video Streaming",Podcasts,,AI/ML/Analytics,50,100,55,75,55,75,50,20,75,0,75,0
92,92,Relay Media,2017,2015,10,50,Google,AI/ML/Analytics,AMP converter,Analytics,AMP converter,,AI/ML/Analytics,50,100,41,51,41,51,50,20,75,0,75,0
93,93,Bitium,2017,2012,50,50,Google,AR/VR,Single sign-on and identity management,"Cloud Computing, Cyber Security, Identity Management, SaaS, Security, Software",Single sign-on and identity management,,Software,50,100,52,71,52,71,50,20,75,0,75,0
94,94,HTC (portions),2017,2012,25,50,Google,Software,Talent and intellectual property licenses,"Consumer Electronics, Manufacturing, Mobile",Talent and intellectual property licenses,1100000000,Software,50,100,56,41,56,41,50,20,75,0,75,0
95,95,AIMatter,2017,2012,25,50,Google,AI/ML/Analytics,Computer vision,"Artificial Intelligence, Computer Vision, Software",Computer vision,,AI/ML/Analytics,50,100,59,70,59,70,50,20,75,0,75,0
96,96,Halli Labs,2017,2016,25,50,Google,AI/ML/Analytics,Halli Labs is an Indian deep learning and machine learning systems development company.,"Artificial Intelligence, Machine Learning, Software Engineering",Artificial intelligence,,AI/ML/Analytics,50,100,53,71,53,71,50,20,75,0,75,0
97,97,Owlchemy Labs,2017,2010,50,50,Google,AR/VR,Owlchemy Labs is a creative game studio with a passion for polished and unique games and VR experiences.,"Gaming, Software Engineering, Virtual Reality",Virtual reality studio,,AR/VR,50,100,50,61,50,61,50,20,75,0,75,0
98,98,AppBridge,2017,2015,50,50,Google,Software,AppBridge is a application developer and facilitating the transformation of work,"Apps, Data Storage, Google",Productivity suite,,Software,50,100,44,54,44,54,50,20,75,0,75,0
99,99,Kaggle,2017,2010,50,50,Google,AI/ML/Analytics,Kaggle is a platform for predictive modeling and analytics competitions and consulting.,"Analytics, Big Data, Data Mining, News, Predictive Analytics",Data science,,AI/ML/Analytics,50,100,59,56,59,56,50,20,75,0,75,0
100,100,Fabric,2017,2011,50,50,Google,AR/VR,"Firebase is Google's mobile platform. Build and grow your iOS, Android, or Web app with Firebase.","Cloud Infrastructure, Developer APIs, Developer Tools, Enterprise Software, Mobile Apps, Real Time",Crash analytics,,Software,50,100,48,59,48,59,50,20,75,0,75,0
101,101,Limes Audio,2017,2007,50,50,Google,AR/VR,Limes Audio develops technology that make two-way voice communication systems sound better.,"Audio, Communication Hardware, Telecommunications",Voice communication,,Hardware,50,100,44,80,44,80,50,20,75,0,75,0
102,102,Cronologics,2016,2014,50,50,Google,AR/VR,Cronologics Corporation is a software platform for high quality smart watches by Android and Google veterans.,"Hardware, Software, Wearables",Smartwatches,,Software,50,100,57,63,57,63,50,20,75,0,75,0
103,103,Qwiklabs,2016,2012,50,50,Google,AR/VR,Qwiklabs provides lab learning environments that help devs and IT pros get hands-on experience with leading cloud platforms and software.,"Cloud Computing, Information Technology, Software",Cloud based hands-on training platform,,Software,50,100,41,41,41,41,50,20,75,0,75,0
104,104,LeapDroid,2016,2015,50,50,Google,AR/VR,LeapDroid developers have just announced that theyí_í‚_í_í‚_í_Œ‚í_Œ_ll be joining Google in the near future and are stopping both development and support.,Software,Android Emulator,,Software,50,100,58,54,58,54,50,20,75,0,75,0
105,105,Eyefluence,2016,2013,50,50,Google,AR/VR,"Eyefluence is the first eye-interaction technology for AR, VR, and MR devices which transforms intent into action through the eyes.","Consumer Electronics, Manufacturing, Wearables","Eye tracking, virtual reality",,Hardware,50,100,55,60,55,60,50,20,75,0,75,0
106,106,FameBit,2016,2005,5000,1000,Google,Software,"YouTube, a video-sharing platform, allows users to upload, view, and share videos, including movie and music clips and amateur content.","Internet, Music, Video",Branded content,,Software,50,100,40,69,40,69,50,20,75,0,75,0
107,107,API.AI,2016,2011,25,50,Google,AI/ML/Analytics,Natural language processing,,Natural language processing,,AI/ML/Analytics,50,100,56,45,56,45,50,20,75,0,75,0
108,108,Urban Engines,2016,2014,50,50,Google,AI/ML/Analytics,Urban Engines combines big data and spatial analytics to improve urban mobility.,"Analytics, Big Data, GovTech, Mobile, Software, Transportation",Location-based analytics,,AI/ML/Analytics,50,100,51,61,51,61,50,20,75,0,75,0
109,109,Apigee,2016,2004,100,100,Google,AR/VR,"Apigee is a digital business platform providing enterprise tools to help companies build and scale apps, APIs and data.
","Cloud Data Services, Enterprise Software, Information Technology",API management and predictive analytics,625000000,Software,50,100,57,40,57,40,50,20,75,0,75,0
110,110,Orbitera,2016,2011,50,50,Google,AI/ML/Analytics,Orbitera is a Cloud Commerce company that simplifies and automates the buying and selling of products in the cloud.,"Analytics, Cloud Computing, E-Commerce, Marketing Automation, SaaS, Software",Cloud software,100000000,AI/ML/Analytics,50,100,43,76,43,76,50,20,75,0,75,0
111,111,LaunchKit,2016,2015,10,50,Google,Software,"Simple, useful tools for mobile makers.","Developer Tools, Mobile Apps",Mobile tool maker,,Software,50,100,57,55,57,55,50,20,75,0,75,0
112,112,Kifi,2016,2012,10,50,Google,AI/ML/Analytics,Connecting people with knowledge,"Analytics, Artificial Intelligence, Big Data, Content Discovery, Knowledge Management",Link management,,AI/ML/Analytics,50,100,50,62,50,62,50,20,75,0,75,0
113,113,Anvato,2016,2007,50,50,Google,AR/VR,Anvato is a video software platform that creates multiple adaptive bitrate streams for uninterrupted playback on any device or website.,"Software, Video Conferencing, Video Streaming",Cloud-based video services,,Software,50,100,47,69,47,69,50,20,75,0,75,0
114,114,Moodstocks,2016,2008,10,50,Google,AI/ML/Analytics,Moodstocks provides an API and ready-to-use cross-platform SDK for developers to integrate scanning.,"Artificial Intelligence, Hardware, Image Recognition,Machine Learning, Mobile, QR Codes, Real Time, Visual Search",Image recognition,,AI/ML/Analytics,50,100,59,73,59,73,50,20,75,0,75,0
115,115,Webpass,2016,2003,250,250,Google,Software,Webpass is a San Francisco based Internet Service Provider.,"Internet, ISP, Wireless",Internet service provider,,Software,50,100,53,49,53,49,50,20,75,0,75,0
